scenario,year,co2_ppm,total_effective_forcing_wm2,anthropogenic_effective_forcing_wm2,rcmip_co2_effective_forcing_wm2
ssp126,2057,473.021983,3.51695482,3.51831292,3.04620984
ssp126,2058,473.321988,3.52148747,3.51855742,3.04991597
ssp126,2059,473.563985,3.52450902,3.51835195,3.05290177
ssp126,2060,473.749987,3.50234233,3.51770911,3.05519323
ssp126,2061,473.877986,3.48240339,3.51601021,3.05676606
ssp126,2062,473.958989,3.46528187,3.51389038,3.05775711
ssp126,2063,473.998988,3.45746463,3.51137781,3.05824063
ssp126,2064,473.998988,3.45260562,3.50848,3.05822927
ssp126,2065,473.956993,3.45573521,3.50517897,3.05769826
ssp126,2066,473.872991,3.48058594,3.50145401,3.0566474
ssp126,2067,473.746986,3.50197465,3.49730882,3.05507651
ssp126,2068,473.577995,3.51153988,3.49272625,3.05297292
ssp126,2069,473.364995,3.50076621,3.48769202,3.0503236
ssp126,2070,473.10999,3.47950892,3.48221995,3.04715273
ssp126,2071,472.810994,3.45087696,3.47610088,3.0434349
ssp126,2072,472.457995,3.43325399,3.46937202,3.0390449
ssp126,2073,472.040995,3.4176436,3.46187591,3.03385713
ssp126,2074,471.560994,3.3975602,3.4536228,3.02788229
ssp126,2075,471.017995,3.38373371,3.44461441,3.02111821
ssp126,2076,470.413999,3.36916757,3.43488536,3.01358743
ssp126,2077,469.749003,3.36505275,3.42441092,3.00528747
ssp126,2078,469.021996,3.37173675,3.4131934,2.99620272
ssp126,2079,468.236003,3.379169,3.40126366,2.98636791
ssp126,2080,467.389999,3.38012113,3.38860583,2.97576685
ssp126,2081,466.483999,3.3664813,3.37320523,2.96439613
ssp126,2082,465.535998,3.34966196,3.35746977,2.95247799
ssp126,2083,464.561007,3.3195585,3.34178177,2.94019839
ssp126,2084,463.558004,3.29720211,3.32610253,2.92754254
ssp126,2085,462.527003,3.25985939,3.31040648,2.91450846
ssp126,2086,461.466006,3.23214724,3.29464275,2.90106872
ssp126,2087,460.375008,3.2153219,3.27878871,2.88722083
ssp126,2088,459.25501,3.20106103,3.26283686,2.87297499
ssp126,2089,458.104004,3.20165009,3.24673573,2.85830314
ssp126,2090,456.924004,3.21313985,3.2304947,2.84322826
ssp126,2091,455.713005,3.21622858,3.21316978,2.82772194
ssp126,2092,454.502009,3.22562987,3.19605315,2.81217956
ssp126,2093,453.319008,3.19807724,3.17946223,2.79696136
ssp126,2094,452.160011,3.15968891,3.1633405,2.78201816
ssp126,2095,451.024005,3.12633918,3.14766654,2.76733881
ssp126,2096,449.909009,3.09040799,3.13239802,2.75289942
ssp126,2097,448.812007,3.06845232,3.11749735,2.73866245
ssp126,2098,447.734009,3.04735641,3.10295732,2.72464239
ssp126,2099,446.67201,3.04265331,3.08874795,2.71080148
ssp126,2100,445.625002,3.05063422,3.07482423,2.69712779
ssp126,2101,444.592005,3.06036295,3.05870958,2.68360945
ssp126,2102,443.578003,3.04325122,3.04302391,2.67031286
ssp126,2103,442.586011,3.02705658,3.02785422,2.657279
ssp126,2104,441.614009,3.00121345,3.01317376,2.64448278
ssp126,2105,440.662,2.96574657,2.9989373,2.63192574
ssp126,2106,439.729004,2.93982038,2.98510879,2.61959635
ssp126,2107,438.813001,2.91643301,2.97165626,2.60746902
ssp126,2108,437.914007,2.90227553,2.95855007,2.59554527
ssp126,2109,437.031008,2.8959112,2.94576828,2.58381266
ssp126,2110,436.163005,2.90410535,2.9332734,2.57225896
ssp126,2111,435.311007,2.93514507,2.92107924,2.56089864
ssp126,2112,434.473007,2.92515499,2.90914055,2.54970583
ssp126,2113,433.650001,2.91597397,2.8974606,2.53869479
ssp126,2114,432.840004,2.87967134,2.88600957,2.52783979
ssp126,2115,432.044004,2.86112697,2.87479047,2.51715497
ssp126,2116,431.261007,2.82895184,2.86378325,2.50662778
ssp126,2117,430.491002,2.80706139,2.852976,2.49625884
ssp126,2118,429.734006,2.78932502,2.84236649,2.48604915
